rok,miesiac,liczba,imie,plec
705,2006,10,20,Zofia,0
706,2006,9,16,Zofia,0
707,2006,8,25,Zofia,0
708,2006,7,15,Zofia,0
709,2006,6,18,Zofia,0
710,2006,5,27,Zofia,0
711,2006,4,17,Zofia,0
712,2006,3,8,Zofia,0
713,2006,2,13,Zofia,0
714,2006,1,20,Zofia,0
715,2005,12,20,Zofia,0
716,2005,11,17,Zofia,0
717,2005,10,15,Zofia,0
718,2005,9,20,Zofia,0
719,2005,8,21,Zofia,0
720,2005,7,20,Zofia,0
721,2005,6,15,Zofia,0
722,2005,5,12,Zofia,0
723,2005,4,18,Zofia,0
724,2005,3,9,Zofia,0
725,2005,2,10,Zofia,0
726,2005,1,19,Zofia,0
727,2004,12,8,Zofia,0
728,2004,11,9,Zofia,0
729,2004,10,5,Zofia,0
730,2004,9,10,Zofia,0
731,2004,8,5,Zofia,0
732,2004,7,2,Zofia,0
733,2014,8,5,Wiktoria,0
734,2014,7,13,Wiktoria,0
735,2014,6,5,Wiktoria,0
736,2014,5,9,Wiktoria,0
737,2014,4,9,Wiktoria,0
738,2014,3,12,Wiktoria,0
739,2014,2,9,Wiktoria,0
740,2014,1,10,Wiktoria,0
741,2013,12,2,Wiktoria,0
742,2013,11,11,Wiktoria,0
743,2013,10,10,Wiktoria,0
744,2013,9,5,Wiktoria,0
745,2013,8,15,Wiktoria,0
746,2013,7,4,Wiktoria,0
747,2013,6,9,Wiktoria,0
748,2013,5,11,Wiktoria,0
749,2013,4,7,Wiktoria,0
750,2013,3,9,Wiktoria,0
751,2013,2,4,Wiktoria,0
752,2013,1,10,Wiktoria,0
753,2012,12,6,Wiktoria,0
754,2012,11,6,Wiktoria,0
755,2012,10,14,Wiktoria,0
756,2012,9,16,Wiktoria,0
757,2012,8,9,Wiktoria,0
758,2012,7,9,Wiktoria,0
759,2012,6,16,Wiktoria,0
760,2012,5,13,Wiktoria,0
761,2012,4,6,Wiktoria,0
762,2012,3,8,Wiktoria,0
763,2012,2,11,Wiktoria,0
764,2012,1,14,Wiktoria,0
765,2011,12,9,Wiktoria,0
766,2011,11,12,Wiktoria,0
767,2011,10,15,Wiktoria,0
768,2011,9,5,Wiktoria,0
769,2011,8,5,Wiktoria,0
770,2011,7,8,Wiktoria,0
771,2011,6,10,Wiktoria,0
772,2011,5,9,Wiktoria,0
773,2011,4,3,Wiktoria,0
774,2011,3,9,Wiktoria,0
775,2011,2,9,Wiktoria,0
776,2011,1,16,Wiktoria,0
777,2010,12,12,Wiktoria,0
778,2010,11,13,Wiktoria,0
779,2010,10,9,Wiktoria,0
780,2010,9,13,Wiktoria,0
781,2010,8,11,Wiktoria,0
782,2010,7,5,Wiktoria,0
783,2010,6,9,Wiktoria,0
784,2010,5,8,Wiktoria,0
785,2010,4,8,Wiktoria,0
786,2010,3,6,Wiktoria,0
787,2010,2,7,Wiktoria,0
788,2010,1,6,Wiktoria,0
789,2009,12,7,Wiktoria,0
790,2009,11,16,Wiktoria,0
791,2009,10,9,Wiktoria,0
792,2009,9,16,Wiktoria,0
793,2009,8,12,Wiktoria,0
794,2009,7,21,Wiktoria,0
795,2009,6,11,Wiktoria,0
796,2009,5,12,Wiktoria,0
797,2009,4,16,Wiktoria,0
798,2009,3,13,Wiktoria,0
799,2009,2,8,Wiktoria,0
800,2009,1,9,Wiktoria,0
801,2008,12,12,Wiktoria,0
802,2008,11,18,Wiktoria,0
803,2008,10,12,Wiktoria,0
804,2008,9,17,Wiktoria,0
805,2008,8,21,Wiktoria,0
806,2008,7,21,Wiktoria,0
807,2008,6,24,Wiktoria,0
808,2008,5,5,Wiktoria,0
809,2008,4,24,Wiktoria,0
810,2008,3,16,Wiktoria,0
811,2008,2,21,Wiktoria,0
812,2008,1,16,Wiktoria,0
813,2007,12,16,Wiktoria,0
